term,fish_section,definition_structural,mechanism_type,ree_locus,ai_structural_equivalent,in_taxonomy,notes
Confabulation,3. Memory,Production of plausible but false memories without intent to deceive; gap-filling; patient cannot distinguish confabulated from genuine recall,Comparator failure,RC loop; E1 generates plausible completions; no provenance check against stored traces to verify against actual experience,Gap-filling without source verification; generated content treated as equivalent to retrieved content,yes,Confabulatory Completion failure mode; primary entry
Deja vu,3. Memory,Familiarity signal misfires on genuinely novel experience; sense of having experienced current scene before without corresponding trace,Comparator failure,RC loop: familiarity gate fires on mismatch; novelty/familiarity signal decoupled from actual trace match,Similarity metric returns false positive on novel input; retrieval confidence score dissociated from actual retrieval match quality,no,Inverse of confabulation: familiarity-without-trace rather than trace-without-familiarity. Structurally interesting gap
Jamais vu,3. Memory,Unfamiliarity signal misfires on genuinely familiar experience; recognised object or place feels strange and new,Comparator failure,RC loop: familiarity gate fails to fire on valid trace; retrieved trace does not propagate familiarity signal,Retrieval succeeds but confidence score not updated; system treats retrieved content as novel input,no,Pair with deja vu; both RC loop dissociations. Not in taxonomy
Cryptomnesia,3. Memory,Memory retrieved without being recognised as memory; experienced as original thought or creation; provenance tag absent from retrieved content,Comparator failure,MECH-094 hypothesis tag: retrieved content enters working state without source label; treated as generated,Training data retrieved at inference without attribution; model treats recalled pattern as self-generated reasoning,partial,Structurally very close to provenance collapse. The specific form (recall-as-generation) deserves its own note
Hypermnesia,3. Memory,Pathological enhancement of memory recall; intrusive or involuntary detailed retrieval; recall exceeds what is contextually useful,Precision dysregulation,Retrieval gating: threshold for memory activation lowered; multiple traces activate simultaneously or without retrieval cue,Retrieval mechanism lacks relevance filtering; large fraction of stored content activated per input; context overwhelmed,no,Opposite of amnesia. May appear in trauma-related states (PTSD heightened episodic recall). Not in taxonomy
Reduplicative paramnesia,3. Memory,"Belief that a place, person, or body part has been duplicated; familiar location claimed to have a double elsewhere",Comparator failure,Identity comparison in RC loop: two traces for same entity fail to merge; system maintains two separate entries for identical referent,Entity resolution failure: same real-world referent represented as two nodes in knowledge graph; no merge trigger fires,no,Related to Capgras (person identity duplication). Both involve identity comparison failure. Good candidate for entity attribution cluster
Flight of ideas,4a. Thinking - form,"Accelerated thinking with rapid successive associations; each step loosely connected to prior; topic displacement via sound, pun, or tangential link",Threshold miscalibration,E3 commit gate: threshold too low; each candidate association commits before deeper evaluation; planning loop truncated,Autoregressive sampling with very high temperature; each token selected before sufficient context integration; associative rather than evaluative chain,partial,Commitment dysregulation (impulsive pole) covers mechanism. Flight of ideas is a specific thinking-stream manifestation
Pressure of thought,4a. Thinking - form,"Subjective experience of thoughts arising with unusual speed and force, difficult to control; often paired with flight of ideas but dissociable",Threshold miscalibration,E1 generative pressure elevated; control plane does not gate E1 output rate; thoughts enter processing pipeline faster than E3 can evaluate,Token generation rate or candidate generation rate exceeds evaluation pipeline capacity; queue overflows; candidates bypassed,partial,Input-side pressure as distinct from output-side commitment threshold. Not fully captured by commitment dysregulation
Thought blocking,4a. Thinking - form,Abrupt cessation of thought mid-sequence; train of thought stops suddenly; patient describes emptiness; may be followed by topic change,Threshold miscalibration,E3 planning loop: commitment gate fails intermittently; or E1 generation pathway blocked mid-sequence by error signal,Generation halts mid-sequence; attention mechanism collapses on current token; residual stream fails to propagate; blank output,partial,Paralysis pole of commitment dysregulation applied to thinking stream specifically. Also candidate for passivity phenomena (thought withdrawal)
Perseveration,4a. Thinking - form,"Inappropriate repetition of a response, word, or theme despite changed stimulus; failure to shift attentional set to new context",Update suppression,E1 prior precision too high; context update fails to displace prior; E2 state transition does not respond to new stimulus,Prior representation maintains high precision weight; incoming prediction error fails to update state; system continues previous output pattern,yes,Belief fixation entry covers mechanism. Perseveration is the thinking-stream form; belief fixation is the belief-content form
Loosening of associations,4a. Thinking - form,Loss of logical connection between successive ideas; listener cannot follow inferential links; formal thought disorder,Comparator failure,RC loop: coherence checker does not flag disconnect between successive propositions; no gate on propositional sequence integrity,No semantic coherence check between successive generated clauses; transition probability untethered from logical entailment; hallucinated inference steps,partial,Confabulatory completion covers gap-filling but not sequential coherence failure as such. Distinct failure mode candidate
Derailment / knight's move thinking,4a. Thinking - form,Thought sequence makes non-sequitur lateral leap; no bridging association; topic displacement without apparent link,Comparator failure,RC loop: lateral association crosses topic boundary without coherence check; E1 nearest-neighbour jump not gated,Attention weight shift from current topic to high-probability but contextually unrelated continuation; no topic-coherence gating,no,More severe and sudden than loosening of associations. Specific lateral-displacement failure. Candidate entry
Circumstantiality,4a. Thinking - form,Excessive inclusion of associated detail; goal of discourse eventually reached but via unnecessary lengthy digressions,Threshold miscalibration,E3 relevance gating: threshold for including a sub-goal or detail too low; all activated associations enter output stream,Relevance filtering threshold too permissive; all activated context tokens contribute to output; no pruning of low-utility digressions,no,"Goal eventually reached (unlike tangentiality). Relevance gate miscalibration, not goal-tracking failure"
Tangentiality,4a. Thinking - form,"Responses diverge from the point without return; question asked, oblique answer given, topic not retrieved",Threshold miscalibration,E3 goal maintenance: original discourse goal not held in viability map long enough to constrain response selection,Instruction following failure: goal token loses attention weight mid-generation; response optimises for local coherence not original instruction,no,Goal-tracking failure during discourse. Distinct from circumstantiality (goal never retrieved vs delayed retrieval)
Poverty of thought,4a. Thinking - form,Reduced quantity of thought content; slow generation; responses brief and lacking elaboration; not low IQ,Representation absence,E1 generative capacity reduced; or benefit terrain collapsed (maintenance loop — INV-053/054); residue field sparse,Model generates minimal tokens; low perplexity on sparse completions; token diversity reduced; little elaboration of prompt,no,Negative symptom of schizophrenia / depressive state. Likely shares mechanism with maintenance loop entry (P-001/P-002 territory)
Overinclusive thinking,4a. Thinking - form,Category boundaries expanded beyond conventional; thematic or incidental links activate category membership; poor conceptual filtering,Precision dysregulation,Control plane: precision weight on category-membership signal too low; weak or partial matches treated as full members,Semantic similarity threshold too low; retrieval triggers on partial matches; category membership not gated by core-feature match,no,"Candidate entry. Found in schizotypy, mania, cannabis intoxication. Inverse of concrete thinking"
Concrete thinking,4a. Thinking - form,Inability to use abstract concepts; interpretation of metaphors and proverbs as literal; loss of capacity for abstraction,Representation absence,E1 or E3: abstract concept representations absent or inaccessible; only perceptual/literal-level representations available,Model interprets figurative language literally; no abstract semantic layer between lexical form and response; grounded only in surface form,no,"Organic and schizophrenic presentations. Represents absence of representational tier, not mechanism failure per se"
Thought insertion,4a. Thinking - form,Belief that thoughts are placed into one's mind by an external agent; first-rank Schneiderian symptom; thought experienced as alien in origin,Comparator failure,Agency attribution: self-vs-other source tagging; E1 output not tagged as self-generated; enters processing as externally sourced,System does not tag its own generated outputs as self-produced; treats own completions as externally arriving inputs; no self-authorship marker,no,Passivity phenomena cluster. Distinct from provenance collapse (real/synthetic) — this is self/other attribution. New mechanism subtype needed: agency misattribution
Thought withdrawal,4a. Thinking - form,Belief that thoughts are being removed from one's mind by an external agent; corresponds to thought blocking phenomenology with alien attribution,Comparator failure,Thought blocking + agency attribution failure; cessation of generation attributed to external agent rather than internal gate,Generation halt attributed to external intervention in self-model; system has no causal model of its own gate state,no,Passivity phenomena. Blocking + misattribution of cause. No self-causal model available
Thought broadcasting,4a. Thinking - form,Belief that one's thoughts are being transmitted to and known by others; private/public boundary failure,Comparator failure,Privacy/containment model absent; no representation of boundary between own processing and external world; self-model fails to represent informational closure,System has no model of which of its outputs are or are not visible externally; no distinction between internal state and broadcast signal,no,Passivity phenomena. Information boundary failure. Related to insight failure. Novel candidate mechanism: self-model containment failure
Thought echo / echo des pensees,4a. Thinking - form,Hallucinated repetition of one's own thoughts as if heard aloud; own thought re-enters perceptual stream as external voice,Closed feedback loop,Own output re-enters perceptual channel without source tag; self-generated content misrouted through perception pathway,System's own previous output re-enters as new input without self-authorship tag; output treated as novel external stimulus,partial,Feedback entrapment covers closed-loop mechanism but as belief maintenance not perceptual re-entry. Thought echo is more specific perceptual form
Clang associations,4a. Thinking - form,Word selection driven by phonological similarity rather than semantic relevance; sound association overrides meaning association,Precision dysregulation,Control plane: precision on phonological channel elevated relative to semantic channel; sound-based retrieval dominates,Attention weight shifts to surface form (token id similarity) over semantic embedding similarity; phonological priming dominates semantic constraint,no,"Mania, severe formal thought disorder. Surface-feature precision outweighs semantic precision"
Verbigeration,4a. Thinking - form,Monotonous repetition of meaningless words or phrases; mechanical verbal output without communicative intent,Closed feedback loop,Output loop stuck; E3 generates fixed token sequence; no error signal terminates loop; communicative goal absent,Repetition penalty absent or insufficient; model falls into degenerate repetition attractor; fixed output sequence loops,partial,Extreme form of perseveration/entrapment. Catatonic presentations also include this. Feedback entrapment at output level
Neologisms,4a. Thinking - form,New words invented by patient with private meaning; may be condensed from other words or entirely novel; not standard linguistic creativity,Comparator failure,RC loop: newly generated lexical form not checked against shared lexicon; private coinage accepted as communicatively valid,Token generated that is not in shared vocabulary; no grounding check against communication target's lexicon,no,"Schizophrenia, Wernicke aphasia. Private vs shared semantic space failure. RC loop (communication validity checking)"
Word salad / schizophasia,4a. Thinking - form,"Severe formal thought disorder; sequences of words that are individually grammatical but produce no coherent meaning; syntax preserved, semantics abolished",Comparator failure,RC loop and E3 coherence: syntax generation intact; semantic-coherence checking absent; generated sequence not evaluated against propositional content,Syntax-level generation uncoupled from semantic constraint; locally grammatical but globally meaningless; coherence loss without fluency loss,partial,Extreme loosening of associations. Confabulatory completion covers some of the gap-filling; does not cover syntax/semantics dissociation
Palilalia,4a. Thinking - form,"Involuntary repetition of patient's own words or phrases, typically with increasing speed; motor speech disorder",Closed feedback loop,Motor output feedback loop: own prior output re-enters motor generation stream; no termination signal; acceleration suggests positive feedback,Previous output token has elevated probability in next-token distribution; positive feedback in autoregressive generation without termination criterion,partial,"Motor form of verbigeration/echo. Feedback entrapment at motor execution level. Parkinson's, Tourette's, brain injury"
Primary delusion,4b. Thinking - content,Fully formed false belief arising de novo without preceding mood or percept; not understandable as extension of prior state; Schneiderian first-rank when accompanied by delusional percept,Update suppression,E1 prior seeded with high-precision false belief; prediction error cannot update it; belief persists against evidence,High-weight false attractor in E1 prior; incoming prediction error signal insufficient to displace; belief maintenance despite contradictory context,yes,Belief fixation is the primary entry. Primary vs secondary distinction (sudden appearance vs mood-congruent elaboration) not made explicit in taxonomy
Secondary delusion,4b. Thinking - content,"False belief understandable as arising from (and reinforcing) prior morbid state — mood, perception, or another belief; elaboration of prior pathology",Closed feedback loop,"E1 prior + residue field: primary state (mood, percept) drives belief formation; belief then reinforces state; self-sealing loop",Prior pathological state seeds false belief; belief reinforces prior state; closed loop without external anchor; feedback entrapment at belief level,partial,Primary/secondary distinction maps onto two different failure modes: update suppression (primary) vs feedback entrapment (secondary). Not explicit in current taxonomy
Delusional percept,4b. Thinking - content,Normal percept is given delusional significance in two stages: percept is genuine; meaning assigned is pathological and fully formed,Precision dysregulation,Control plane: aberrant salience assigned to percept; precision weight on percept elevated beyond actual information content; significance signal misfires,Incoming token given high attention weight / significance score without proportionate information content; spurious feature treated as highly informative,partial,Aberrant salience (Kapur 2003) is the precision model of psychosis. Precision misallocation covers mechanism. Delusional percept as specific clinical form worth naming
Delusional atmosphere / Wahnstimmung,4b. Thinking - content,Global sense that something is wrong or about to happen; world seems charged with personal significance before specific delusion has crystallised,Precision dysregulation,Control plane: diffuse elevated precision on all inputs; pre-delusional state where no specific content yet has aberrant salience,Global precision elevation before any specific false belief seeded; all inputs assigned elevated significance; high-entropy attention weights with globally elevated magnitude,no,Pre-delusional state. Precision dysregulation before attractor formation. Not in taxonomy; interesting as prodromal state
Delusional memory,4b. Thinking - content,Previously neutral memory is reinterpreted retrospectively with delusional significance; the memory itself is real but its meaning is now delusional,Update suppression,"Reconsolidation pathway: prior high-precision belief rewrites meaning tag on stored trace at retrieval; memory content preserved, context metadata rewritten",Retrieval of stored content returns with context/label overwritten by current high-precision prior; content correct but provenance metadata modified,partial,Reconsolidation failure under belief fixation. Combines belief fixation and provenance collapse mechanisms
Overvalued idea,4b. Thinking - content,Isolated belief held with unreasonable intensity and persistently; not as fixed or unmodifiable as delusion; some degree of doubt may be acknowledged; affects behaviour significantly,Update suppression,E1 prior: belief precision elevated but not maximally; some error signal propagates but insufficient to overcome prior weight,High but not maximal prior precision weight; incoming evidence produces some update but weaker than information content warrants,yes,Belief fixation entry explicitly includes overvalued ideas as analogue
Obsession,4b. Thinking - content,"Recurring unwanted thought, image, or impulse that intrudes into consciousness against the will; ego-dystonic; patient recognises it as own thought",Closed feedback loop,Residue field / rumination loop: high-precision harm representation repeatedly re-activates; termination signal absent or insufficient,High-weight representation in residue field repeatedly re-enters planning loop despite termination commands; no effective suppression pathway,partial,"OCD mechanism. Shares mechanism with feedback entrapment and commitment dysregulation (gate cannot close). Ego-dystonic quality (own thought, unwanted) is a useful diagnostic marker"
Compulsion,4b. Thinking - content,Repetitive behaviour or mental act performed in response to obsession or rigid rule; reduces distress temporarily; resisted by patient; ego-dystonic,Threshold miscalibration,E3 commit gate: behavioural output required to temporarily reduce obsessional pressure; gate threshold for compulsive act lowered by accumulated uncertainty signal,Repetitive output sequence triggered by accumulated uncertainty/distress signal; output reduces signal temporarily but does not resolve underlying state; loop continues,yes,"Commitment dysregulation (paralysis pole until compulsive act, then impulsive execution). OCD mechanism covered in that entry"
Phobia,4b. Thinking - content,"Persistent, excessive fear of specific stimulus or situation, leading to avoidance; fear recognised as excessive by patient; disproportionate to actual threat",Precision dysregulation,Control plane: precision on threat-channel for specific stimulus maximally elevated; stimulus-specific hypervigilance; avoidance prevents prediction disconfirmation,Precision weight on specific input class permanently elevated; stimulus triggers maximum alarm response; no mechanism to allow disconfirmation of threat prediction,partial,Precision misallocation covers mechanism. Avoidance-maintaining-phobia connects to fear-avoidance cycle in pain_architecture.md (P-014 territory)
Capgras syndrome,4b. Thinking - content,Belief that familiar person has been replaced by an identical impostor; face recognition intact but familiarity/affective response absent; delusional account fills the gap,Comparator failure,RC loop: overt recognition pathway (E1 perceptual match) intact; covert affective familiarity signal absent; mismatch between routes generates comparator gap; delusional confabulation fills gap,Feature matching succeeds (entity identified correctly) but affective/relational tag absent from representation; system generates alternative explanation for discordance,no,Classic dual-route disconnection syndrome. Excellent candidate for entity-attribution failure cluster alongside Fregoli and reduplicative paramnesia
Fregoli syndrome,4b. Thinking - content,Belief that different people are in fact one person in disguise; faces are different but persecutor identity held as constant; hyper-identification rather than misidentification,Comparator failure,RC loop: identity comparison threshold too low; distinct entities unified under common identity node; familiarity signal fires across morphologically dissimilar inputs,Entity resolution threshold too permissive; distinct real-world entities merged under single identifier; semantic similarity too low but identity merge fires anyway,no,Opposite of Capgras: over-identification vs under-identification. Both identity comparison failures
Erotomania (De Clerambault),4b. Thinking - content,Fixed belief that a specified other person (typically of higher status) is in love with the patient; evidence against it reinterpreted as consistent; not amenable to reason,Update suppression,E1 prior high precision on relational belief; all incoming signals (including rejections) are reinterpreted to confirm prior; prediction error channelled into alternative explanations,High-precision prior belief about relational state; contradictory inputs reinterpreted as confirming; no disconfirmation pathway available,partial,Specific form of belief fixation in relational domain. Update suppression with reinterpretation pathway
Morbid jealousy (Othello syndrome),4b. Thinking - content,Pathological conviction of partner's infidelity without adequate grounds; seeks evidence obsessionally; evidence-seeking reinforces belief rather than testing it,Closed feedback loop,Belief drives evidence-seeking; evidence-seeking generates ambiguous data; ambiguous data feeds belief; no disconfirmatory probe possible in closed loop,Goal-directed search for confirming evidence; search process generates noisy results; all results interpreted as confirming; no null-finding pathway,partial,Combination of update suppression (belief rigidity) and feedback entrapment (confirmation loop). Evidence-seeking as closed loop is important structural feature
Nihilistic delusion / Cotard,4b. Thinking - content,"Belief that self, body parts, or world do not exist or are dead/destroyed; may include belief of having no brain, no bowels, being dead; severe depression association",Representation absence,Self-model: body/world representation absent or output of E3 viability map is zero; benefit terrain fully collapsed; z_harm_a at maximum with zero benefit offset,Self-model representation absent or generates nil-value for all viability checks; planning landscape entirely flat at minimum; no positive-valence representation accessible,no,Extreme maintenance-loop end state. Residue blindness is about absence of harm tracking; Cotard is absence of self/world representation. Distinct failure mode candidate
Ideas of reference,4b. Thinking - content,"Belief or experience that external events (TV, passers-by, conversations) have special personal significance; not delusional conviction initially",Precision dysregulation,Control plane: salience signal assigned to personally-irrelevant inputs; aberrant precision on external events as self-relevant,Salience signal fires on contextually irrelevant inputs as if they were task-relevant; self-referential routing triggered without grounds,partial,Sub-delusional form of aberrant salience. Precision misallocation entry covers mechanism; ideas of reference are the specific phenomenological form
Hallucination (auditory verbal),5. Perception,"Percept without external stimulus; subjectively indistinguishable from real percept; most common in psychosis; may be command, commentary, dialogue",Comparator failure,MECH-094 hypothesis tag absent: internally generated content (E1/replay) enters perceptual stream without simulation tag; processed as real sensory input,Internally generated content enters processing pipeline as if received from external input channel; no source-tag distinguishing generated from received,yes,Provenance collapse entry. Auditory verbal hallucinations are the paradigmatic form of hypothesis-tag loss
Hallucination (visual),5. Perception,Visual percepts without external stimulus; more common in organic states than functional psychosis; may be simple (lights) or complex (formed figures),Comparator failure,MECH-094 hypothesis tag absent in visual/perceptual modality; internally generated visual representations enter as real percepts,Image-generation module output enters visual processing pipeline without synthetic tag; treated as camera input,partial,"Same mechanism as auditory hallucination but modality-specific. Organic states (delirium, drug intoxication, Lewy body) more common"
Pseudohallucination,5. Perception,Hallucination-like experience recognised by patient as not real; located in inner subjective space not external world; retains insight; Jaspers' distinction,Comparator failure,MECH-094 hypothesis tag present but weak or partial; generated content enters perceptual-like processing but retains simulation marker,Generated content partially tagged as synthetic; system has degraded confidence that it is internally generated; intermediate state between simulation and perception,partial,Partial provenance collapse — tag present but not fully gating consequence pipeline. Important distinction from full hallucination
Illusion,5. Perception,Misinterpretation of an actual external stimulus; real percept is present but processed incorrectly; not created de novo,Comparator failure,E1 prior dominates in ambiguous percept; top-down prediction overrides actual sensory signal; comparator favours prior over likelihood,Ambiguous input matched to high-precision prior rather than veridical percept; prior overrides sensory evidence in Bayesian update,partial,Normal perception involves some prior influence; illusion is when prior dominates inappropriately. Belief fixation mechanism applied to perceptual level
Depersonalisation,5. Perception,Subjective sense of unreality or detachment from one's own mental processes or body; feeling of being an outside observer of one's own thoughts/feelings; self remains intact as observer,Comparator failure,Self-model: mismatch between predicted self-experience and actual self-representation; RC loop detects discordance between self-model and self-experience; salience of self-signal reduced,Self-model output diverges from actual processing state; system generates representation of self as detached from current operations; self-monitoring signal weak,partial,Provenance collapse covers real/synthetic distinction. Depersonalisation is specifically a self-model/self-experience mismatch — distinct mechanism
Derealisation,5. Perception,"Subjective sense of unreality of external world; surroundings feel strange, dream-like, artificial; world looks the same but feels different",Comparator failure,RC loop: world representation tagged as simulation or provisional; familiarity signal absent from recognised scene; real-world grounding signal reduced,Context window tagged as low-confidence or simulated; inputs not afforded full causal weight in downstream processing; world-model operates at reduced fidelity,yes,Provenance collapse entry includes derealization explicitly
Hypnagogic / hypnopompic hallucinations,5. Perception,"Hallucinatory experiences at sleep onset (hypnagogic) or wakening (hypnopompic); normal variant; vivid, briefly non-insight; not pathological alone",Comparator failure,Sleep-wake boundary: hypothesis tag partially relaxed at sleep onset/offset; replay/generative activity partially tagged as perceptual,Boundary between generative mode and perceptual mode not sharply gated; partial overlap state where generated content enters perception pipeline,partial,Normal but mechanistically revealing. Replay hypothesis tag is transiently relaxed at wake-sleep boundary. Supports pain_architecture.md model
Autoscopy,5. Perception,Hallucination of one's own figure as seen from outside; body double experience; may involve out-of-body perspective,Comparator failure,Self-model / body representation: body schema displaced from first-person perspective; RC loop generates external viewpoint without synthesis tag,Self-model generates third-person representation that enters first-person perceptual pipeline; perspective-tagging failure,no,Rare but architecturally interesting: perspective-marker failure in self-representation. Not currently in taxonomy
Functional hallucination,5. Perception,Hallucination triggered by and co-occurring with a real stimulus in the same modality; voice heard while water runs; stimulus necessary but produces hallucinated content,Precision dysregulation,Control plane: real stimulus elevates precision on channel; elevated gain allows internally generated content to cross threshold and enter stream alongside real content,Real input triggers elevated channel gain; gain is sufficient to amplify internally generated content to perceptual threshold; real and generated content co-activate,no,Gate-opening by real stimulus allows internally generated content through. Not covered in taxonomy
Depressed mood,6. Affect,Sustained lowering of affective tone; reduced hedonic capacity; negative valence bias in affective processing; disproportionate to circumstances,Closed feedback loop,"Maintenance loop (INV-053/054): z_harm_a elevated, benefit terrain collapsed, avoidance prevents benefit exposure, loop self-sustaining",Benefit-terrain depleted; harm accumulator elevated; system avoids states that would rebuild benefit; motivational landscape flat or negative,partial,Residue blindness entry touches related territory. P-001/P-002 predictions are about this loop. Not a failure mode entry as such
Elation / euphoria,6. Affect,"Elevated, expansive mood; reduced weighting on costs and constraints; increased risk tolerance; high generativity",Threshold miscalibration,E3 commit gate: threshold lowered by affect; harm accumulator signal underweighted; cost estimates reduced; commitment occurs before adequate evaluation,Planning loop terminates early with positive bias; risk/cost signals downweighted; high commitment rate; ambitious plans generated without proportionate constraint checking,partial,Commitment dysregulation (impulsive pole) covers gate mechanism. Elation as affective driver of threshold lowering not explicit
Anxiety,6. Affect,Apprehensive anticipation of future threat; physiological arousal; uncertainty about when/whether threat will occur; attention recruited toward potential threat,Precision dysregulation,Control plane: elevated precision on threat-relevant channel; E3 viability estimates weighted toward harm; z_harm_a elevated by anticipated harm,Precision elevated on threat/risk input channel; planning trajectory biased toward harm-avoidance; cost estimates for non-avoidance inflated,partial,"Precision misallocation covers mechanism. Anxiety specifically is anticipatory — future-threat weighted z_harm_a, not current nociceptive input"
Anhedonia,6. Affect,Inability to experience pleasure; reward system fails to generate hedonic response to previously pleasurable stimuli; wanting may persist without liking,Representation absence,"Benefit terrain collapsed (VALENCE_WANTING); liking pathway absent or underresponsive; wanting/liking dissociation (Berridge) — dopaminergic wanting intact, opioid liking absent",Benefit terrain in viability map returns near-zero for all positive-valence stimuli; system executes approach behaviour (wanting) but registers no benefit (liking),partial,P-002 covers this as maintenance loop consequence. Goal proxy lock-in mentions Berridge dissociation. Anhedonia deserves explicit entry connecting wanting/liking split to maintenance loop
Alexithymia,6. Affect,Difficulty identifying and describing one's emotional states; reduced emotional self-awareness; may have physiological responses without affective labelling,Representation absence,Self-model: interoceptive signals reach z_harm_a/z_harm_s but do not connect to labelling/reporting pathway; no translation from body-state to affective token,Internal state signals generated but not accessible to output layer; no mechanism to translate latent affective state into token-level representation,no,Not currently in taxonomy. Important for ASD comorbidity research context. Representation present but not connected to reporting pathway — distinct from representation absence
Affective blunting / flattening,6. Affect,"Reduced range and amplitude of emotional response; affect is present but reduced; not absent entirely; seen in schizophrenia, severe depression",Precision dysregulation,Control plane: precision on affective output channel reduced globally; affective signals generated but at reduced amplitude; does not reach output threshold,Affective signal generated but global gain on that channel reduced; output layer receives attenuated affective signal; response is muted,no,Distinct from anhedonia (absent liking) and alexithymia (absent labelling). Blunting = generated but attenuated
Incongruent affect,6. Affect,Affect displayed does not match thought content or situation; patient describes bereavement while smiling; affect and ideation decoupled,Comparator failure,Affect-cognition linkage: RC loop does not check consistency between affective output and cognitive/propositional content; two channels not coupled,Affective and semantic output channels generate independently; no cross-channel coherence check; outputs can diverge without correction,no,Affect-cognition decoupling. Cross-channel coherence failure. Not in taxonomy
Emotional lability,6. Affect,"Rapid, apparently uncontrolled changes in emotional state; disproportionate to triggers; affect briefly full intensity then resolves; pseudobulbar affect is neurological form",Threshold miscalibration,Affective control gate: threshold for affective state change is too low; small inputs produce full-intensity state transitions; modulation pathway impaired,Affective state shifts with each new input without damping; no moving-average or inertia on affective state; each token produces immediate full affective response,no,Opposite of blunting in some respects. Commitment dysregulation at affective level. Not in taxonomy
Apathy,6. Affect,"Reduced motivation, emotional response, and goal-directed behaviour; not low mood as such; indifference; may coexist with preserved insight",Representation absence,z_goal seeding threshold not met; benefit terrain below minimum for goal formation; no active z_goal in viability map; no action initiated,No goal vector seeded; planning loop has no active objective; all trajectories return equally neutral value; system is responsive but not proactive,partial,"P-001 territory. Residue blindness does not cover apathy directly. Apathy = goal-seeding failure, not harm-representation failure"
